id,created_at,updated_at,numero,data,cliente_id,cliente_ragione_sociale,cliente_canale,oggetto,agente,provvigione_percentuale,sconto_generale_percentuale,imponibile_cents,iva_cents,totale_cents,validita_giorni,data_scadenza,condizioni_pagamento,tempi_consegna,note,stato,ordine_id
pre-013,1742029200000,1742115600000,PRE-2025-013,2025-04-20,cli-013,Linea Restauro S.r.l.,impresa,Fornitura Travatura abete recuperata — progetto demo 13,Elena,2,0,167580,36868,204448,30,2025-05-20,"30% conferma, saldo prima della consegna",15–25 giorni dalla conferma,Subordinato ad approvazione campione.,accettato,ord-013
pre-014,1742115600000,1742202000000,PRE-2025-014,2025-04-24,cli-014,Spazio Materico S.r.l.,showroom,Fornitura Travatura larice recuperata — progetto demo 14,Luca,3,0,248952,54769,303721,30,2025-05-24,"30% conferma, saldo prima della consegna",15–25 giorni dalla conferma,Preventivo demo.,accettato,ord-014
pre-015,1742202000000,1742288400000,PRE-2025-015,2025-04-28,cli-015,Rovere Contract S.r.l.,rivenditore,Fornitura Travatura rovere recuperata — progetto demo 15,Marta,4,0,484880,106674,591554,30,2025-05-28,"30% conferma, saldo prima della consegna",15–25 giorni dalla conferma,Preventivo demo.,accettato,ord-015
pre-016,1742288400000,1742374800000,PRE-2025-016,2025-05-02,cli-016,Architettura Viva S.r.l.,architetto,Fornitura Pavimento castagno antico — progetto demo 16,Elena,2,0,302400,66528,368928,30,2025-06-01,"30% conferma, saldo prima della consegna",15–25 giorni dalla conferma,Preventivo demo.,accettato,ord-016
pre-017,1742374800000,1742461200000,PRE-2025-017,2025-05-06,cli-017,Borgo Nuovo Resort S.r.l.,diretto,Fornitura Tavola abete prima patina — progetto demo 17,Luca,3,0,196328,43192,239520,30,2025-06-05,"30% conferma, saldo prima della consegna",15–25 giorni dalla conferma,Preventivo demo.,accettato,ord-017
pre-018,1742461200000,1742547600000,PRE-2025-018,2025-05-10,cli-018,Cantiere Blu S.r.l.,impresa,Fornitura Tavola larice seconda patina — progetto demo 18,Marta,4,0,297920,65542,363462,30,2025-06-09,"30% conferma, saldo prima della consegna",15–25 giorni dalla conferma,Preventivo demo.,accettato,ord-018
pre-019,1742547600000,1742634000000,PRE-2025-019,2025-05-14,cli-019,Interni Levante S.r.l.,showroom,Fornitura Tavola rovere prima patina — progetto demo 19,Elena,2,0,552552,121561,674113,30,2025-06-13,"30% conferma, saldo prima della consegna",15–25 giorni dalla conferma,Subordinato ad approvazione campione.,accettato,ord-019
pre-020,1742634000000,1742720400000,PRE-2025-020,2025-05-18,cli-020,Alpine Lodges Italia S.r.l.,diretto,Fornitura Tavola castagno naturale — progetto demo 20,Luca,3,0,484880,106674,591554,30,2025-06-17,"30% conferma, saldo prima della consegna",15–25 giorni dalla conferma,Preventivo demo.,accettato,ord-020
pre-021,1742720400000,1742806800000,PRE-2025-021,2025-05-22,cli-021,Studio Nodo S.r.l.,architetto,Fornitura Tavola olmo prima patina — progetto demo 21,Marta,4,0,304200,66924,371124,30,2025-06-21,"30% conferma, saldo prima della consegna",15–25 giorni dalla conferma,Preventivo demo.,accettato,ord-021
pre-022,1742806800000,1742893200000,PRE-2025-022,2025-05-26,cli-022,Recupero & Design S.r.l.,rivenditore,Fornitura Tavola noce naturale — progetto demo 22,Elena,2,0,479665,105526,585191,30,2025-06-25,"30% conferma, saldo prima della consegna",15–25 giorni dalla conferma,Preventivo demo.,accettato,ord-022
pre-023,1742893200000,1742979600000,PRE-2025-023,2025-05-30,cli-023,Terra Cruda Contract S.r.l.,impresa,Fornitura Perlinato abete grigio — progetto demo 23,Luca,3,0,191520,42134,233654,30,2025-06-29,"30% conferma, saldo prima della consegna",15–25 giorni dalla conferma,Preventivo demo.,accettato,ord-023
pre-024,1742979600000,1743066000000,PRE-2025-024,2025-06-03,cli-024,Habitat Circolare S.r.l.,online,Fornitura Perlinato larice bruciato sole — progetto demo 24,Marta,4,0,291456,64120,355576,30,2025-07-03,"30% conferma, saldo prima della consegna",15–25 giorni dalla conferma,Preventivo demo.,accettato,ord-024
pre-025,1743066000000,1743152400000,PRE-2025-025,2025-06-07,cli-001,Atelier Arco S.r.l.,architetto,Fornitura Pannello rovere recuperato — progetto demo 25,Elena,2,0,528352,116237,644589,30,2025-07-07,"30% conferma, saldo prima della consegna",15–25 giorni dalla conferma,Subordinato ad approvazione campione.,scaduto,
pre-026,1743152400000,1743238800000,PRE-2025-026,2025-06-11,cli-002,Cantieri Brenta S.p.A.,impresa,Fornitura Pannello castagno spazzolato — progetto demo 26,Luca,3,0,237600,52272,289872,30,2025-07-11,"30% conferma, saldo prima della consegna",15–25 giorni dalla conferma,Preventivo demo.,bozza,
pre-027,1743238800000,1743325200000,PRE-2025-027,2025-06-15,cli-003,Dimora Lab S.r.l.,showroom,Fornitura Lamella olmo naturale — progetto demo 27,Marta,4,0,281106,61843,342949,30,2025-07-15,"30% conferma, saldo prima della consegna",15–25 giorni dalla conferma,Preventivo demo.,inviato,
pre-028,1743325200000,1743411600000,PRE-2025-028,2025-06-19,cli-004,Forma Interni S.r.l.,rivenditore,Fornitura Lamella noce prima patina — progetto demo 28,Elena,2,0,476140,104751,580891,30,2025-07-19,"30% conferma, saldo prima della consegna",15–25 giorni dalla conferma,Preventivo demo.,accettato,
pre-029,1743411600000,1743498000000,PRE-2025-029,2025-06-23,cli-005,Officina Abitare S.r.l.,diretto,Fornitura Travatura abete recuperata — progetto demo 29,Luca,3,0,191268,42079,233347,30,2025-07-23,"30% conferma, saldo prima della consegna",15–25 giorni dalla conferma,Preventivo demo.,rifiutato,
pre-030,1743498000000,1743584400000,PRE-2025-030,2025-06-27,cli-006,Studio Cedro Associati,architetto,Fornitura Travatura larice recuperata — progetto demo 30,Marta,4,0,274208,60326,334534,30,2025-07-27,"30% conferma, saldo prima della consegna",15–25 giorni dalla conferma,Preventivo demo.,scaduto,
