id,created_at,data,tipo,origine,articolo_id,lotto_id,quantita_milli,unita_misura,valore_unitario_cents,valore_totale_cents,documento_tipo,documento_id,documento_numero,causale,note
mov-c-015,1744621200000,2025-04-14,carico,acquisto,art-015,lot-015,238000,ml,7200,1748600,ordine_acquisto,oa-015,OA-2025-015,Ricezione merce,
mov-c-016,1745139600000,2025-04-20,carico,acquisto,art-016,lot-016,150000,mq,7885,1223250,ordine_acquisto,oa-016,OA-2025-016,Ricezione merce,
mov-s-001,1744102800000,2025-04-08,scarico,ddt,art-001,lot-001,18000,mq,4200,75600,ddt,ddt-001,DDT-2025-001,Consegna cliente,
mov-s-002,1744448400000,2025-04-12,scarico,ddt,art-002,lot-002,23000,mq,5500,126500,ddt,ddt-002,DDT-2025-002,Consegna cliente,
mov-s-003,1744794000000,2025-04-16,scarico,ddt,art-003,lot-003,28000,mq,9200,257600,ddt,ddt-003,DDT-2025-003,Consegna cliente,
mov-s-004,1745139600000,2025-04-20,scarico,ddt,art-004,lot-004,33000,mq,7500,247500,ddt,ddt-004,DDT-2025-004,Consegna cliente,
mov-s-005,1745485200000,2025-04-24,scarico,ddt,art-005,lot-005,38000,mq,8600,326800,ddt,ddt-005,DDT-2025-005,Consegna cliente,
mov-s-006,1745830800000,2025-04-28,scarico,ddt,art-006,lot-006,18000,mq,11000,198000,ddt,ddt-006,DDT-2025-006,Consegna cliente,
mov-s-007,1746176400000,2025-05-02,scarico,ddt,art-007,lot-007,23000,mq,3400,78200,ddt,ddt-007,DDT-2025-007,Consegna cliente,
mov-s-008,1746522000000,2025-05-06,scarico,ddt,art-008,lot-008,28000,mq,4800,134400,ddt,ddt-008,DDT-2025-008,Consegna cliente,
mov-s-009,1746867600000,2025-05-10,scarico,ddt,art-009,lot-009,33000,mq,7800,257400,ddt,ddt-009,DDT-2025-009,Consegna cliente,
mov-s-010,1747213200000,2025-05-14,scarico,ddt,art-010,lot-010,38000,mq,6400,243200,ddt,ddt-010,DDT-2025-010,Consegna cliente,
mov-s-011,1747558800000,2025-05-18,scarico,ddt,art-011,lot-011,18000,mq,6100,109800,ddt,ddt-011,DDT-2025-011,Consegna cliente,
mov-s-012,1747904400000,2025-05-22,scarico,ddt,art-012,lot-012,23000,mq,8900,204700,ddt,ddt-012,DDT-2025-012,Consegna cliente,
mov-s-013,1748250000000,2025-05-26,scarico,ddt,art-013,lot-013,28000,ml,2800,78400,ddt,ddt-013,DDT-2025-013,Consegna cliente,
mov-s-014,1748595600000,2025-05-30,scarico,ddt,art-014,lot-014,33000,ml,3900,128700,ddt,ddt-014,DDT-2025-014,Consegna cliente,
mov-s-015,1748941200000,2025-06-03,scarico,ddt,art-015,lot-015,38000,ml,7200,273600,ddt,ddt-015,DDT-2025-015,Consegna cliente,
mov-s-016,1749286800000,2025-06-07,scarico,ddt,art-016,lot-016,18000,mq,8300,149400,ddt,ddt-016,DDT-2025-016,Consegna cliente,
mov-s-017,1749632400000,2025-06-11,scarico,ddt,art-001,lot-001,14950,mq,4200,62790,ddt,ddt-017,DDT-2025-017,Consegna cliente,
mov-s-018,1749978000000,2025-06-15,scarico,ddt,art-002,lot-002,18200,mq,5500,100100,ddt,ddt-018,DDT-2025-018,Consegna cliente,
mov-s-019,1749632400000,2025-06-19,scarico,ddt,art-001,lot-001,8050,mq,4200,33810,ddt,ddt-019,DDT-2025-019,Consegna cliente,Seconda tranche.
mov-s-020,1749978000000,2025-06-23,scarico,ddt,art-002,lot-002,9800,mq,5500,53900,ddt,ddt-020,DDT-2025-020,Consegna cliente,Seconda tranche.
mov-r-001,1753952400000,2025-07-31,scarico,scarto,art-003,lot-003,2500,mq,9200,23000,rettifica,ret-001,RET-2025-001,Scarto per difetto non recuperabile,Caso demo non conformità.
mov-r-002,1754384400000,2025-08-05,carico,inventario,art-006,lot-006,1000,mq,11000,11000,rettifica,ret-002,RET-2025-002,Rettifica inventariale positiva,Caso demo conteggio fisico.
